gameId,playId,nflId,frameId,time,jerseyNumber,team,playDirection,x,y,s,a,dis,o,dir,event
2021090900,97,25511.0,1,2021-09-10T00:26:31.100,12.0,TB,right,37.77,24.22,0.29,0.3,0.03,165.16,84.99,None
2021090900,97,25511.0,2,2021-09-10T00:26:31.200,12.0,TB,right,37.78,24.22,0.23,0.11,0.02,164.33,92.87,None
2021090900,97,25511.0,3,2021-09-10T00:26:31.300,12.0,TB,right,37.78,24.24,0.16,0.1,0.01,160.24,68.55,None
2021090900,97,25511.0,4,2021-09-10T00:26:31.400,12.0,TB,right,37.73,24.25,0.15,0.24,0.06,152.13,296.85,None
2021090900,97,25511.0,5,2021-09-10T00:26:31.500,12.0,TB,right,37.69,24.26,0.25,0.18,0.04,148.33,287.55,None
2021090900,97,25511.0,6,2021-09-10T00:26:31.600,12.0,TB,right,37.64,24.26,0.35,0.53,0.05,144.42,282.72,ball_snap
2021090900,97,25511.0,7,2021-09-10T00:26:31.700,12.0,TB,right,37.56,24.26,0.54,1.05,0.08,137.49,272.95,None
2021090900,97,25511.0,8,2021-09-10T00:26:31.800,12.0,TB,right,37.47,24.25,0.8,1.85,0.09,131.95,267.49,None
2021090900,97,25511.0,9,2021-09-10T00:26:31.900,12.0,TB,right,37.38,24.24,0.99,2.03,0.09,129.85,263.48,None
2021090900,97,25511.0,10,2021-09-10T00:26:32.000,12.0,TB,right,37.27,24.23,1.19,1.82,0.11,123.79,263.77,None
2021090900,97,25511.0,11,2021-09-10T00:26:32.100,12.0,TB,right,37.14,24.22,1.38,1.61,0.13,119.88,261.95,None
2021090900,97,25511.0,12,2021-09-10T00:26:32.200,12.0,TB,right,36.99,24.19,1.57,1.43,0.15,113.65,260.27,None
2021090900,97,25511.0,13,2021-09-10T00:26:32.300,12.0,TB,right,36.8,24.16,1.82,1.37,0.19,107.99,261.01,None
2021090900,97,25511.0,14,2021-09-10T00:26:32.400,12.0,TB,right,36.56,24.15,2.23,1.63,0.25,114.8,264.15,None
2021090900,97,25511.0,15,2021-09-10T00:26:32.500,12.0,TB,right,36.34,24.12,2.36,1.28,0.23,119.55,263.17,None
2021090900,97,25511.0,16,2021-09-10T00:26:32.600,12.0,TB,right,36.1,24.1,2.45,1.0,0.24,122.01,264.81,None
2021090900,97,25511.0,17,2021-09-10T00:26:32.700,12.0,TB,right,35.86,24.08,2.5,0.77,0.24,124.38,265.92,None
2021090900,97,25511.0,18,2021-09-10T00:26:32.800,12.0,TB,right,35.63,24.05,2.35,0.4,0.23,128.26,263.13,None
2021090900,97,25511.0,19,2021-09-10T00:26:32.900,12.0,TB,right,35.42,24.02,2.11,1.23,0.21,142.06,261.04,None
2021090900,97,25511.0,20,2021-09-10T00:26:33.000,12.0,TB,right,35.22,23.98,1.96,1.55,0.2,151.05,258.95,None
2021090900,97,25511.0,21,2021-09-10T00:26:33.100,12.0,TB,right,35.04,23.96,1.81,1.47,0.18,160.69,261.93,None
2021090900,97,25511.0,22,2021-09-10T00:26:33.200,12.0,TB,right,34.86,23.94,1.75,1.27,0.18,159.62,265.71,None
2021090900,97,25511.0,23,2021-09-10T00:26:33.300,12.0,TB,right,34.68,23.94,1.7,1.08,0.18,153.09,268.47,None
2021090900,97,25511.0,24,2021-09-10T00:26:33.400,12.0,TB,right,34.51,23.92,1.61,0.91,0.17,152.23,266.76,None
2021090900,97,25511.0,25,2021-09-10T00:26:33.500,12.0,TB,right,34.36,23.89,1.57,0.75,0.16,147.58,260.46,None
2021090900,97,25511.0,26,2021-09-10T00:26:33.600,12.0,TB,right,34.21,23.85,1.45,0.93,0.15,151.73,255.9,None
2021090900,97,25511.0,27,2021-09-10T00:26:33.700,12.0,TB,right,34.08,23.79,1.4,1.13,0.14,150.68,247.23,None
2021090900,97,25511.0,28,2021-09-10T00:26:33.800,12.0,TB,right,33.97,23.7,1.36,1.45,0.14,146.15,234.97,None
